,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len,Exterior_color_imputed
0,36999,4,Mercedes-Benz,Automatic,30336,Silver,Black,19,V6,All-Wheel Drive,Gasoline,5,2551,0
1,39415,4,Chevrolet,Automatic,36052,Black,Black,25,V8,Front-Wheel Drive,Flex Fuel Vehicle,15,6158,0
2,19697,1,Honda,Automatic,17000,Gray,Black,33,I4,Front-Wheel Drive,Gasoline,5,2683,0
3,24799,4,Ford,Automatic,39221,Gray,Black,20,V6,Front-Wheel Drive,Gasoline,7,3341,0
4,24299,4,Jeep,Automatic,33961,White,Black,18,V6,Four-Wheel Drive,Gasoline,1,2090,0
5,29205,1,Mazda,Automatic,38417,Silver,Black,22,I4,All-Wheel Drive,Gasoline,14,4152,0
6,11980,4,Nissan,Automatic,115355,Silver,Black,29,I4,Front-Wheel Drive,Gasoline,21,1027,0
7,40899,3,Chevrolet,Automatic,27980,Black,Black,25,V8,Front-Wheel Drive,Gasoline,13,4661,0
8,40199,3,Chevrolet,Automatic,33232,Silver,Black,25,V8,Front-Wheel Drive,Gasoline,14,4617,0
9,43995,1,Cadillac,Automatic,3046,White,Black,21,V6,Front-Wheel Drive,Gasoline,17,3689,0
10,18399,3,Chrysler,Automatic,29634,Silver,Black,22,V6,Front-Wheel Drive,Gasoline,11,3069,0
11,18399,3,Chrysler,Automatic,30852,Gray,Black,22,V6,Front-Wheel Drive,Gasoline,9,3067,0
12,17299,3,Dodge,Automatic,37128,Red,Black,19,V6,All-Wheel Drive,Gasoline,6,2577,0
13,7760,3,Ford,Automatic,79613,White,Black,25,I4,Front-Wheel Drive,Gasoline,3,2821,0
14,30199,2,Volvo,Automatic,26938,Silver,Black,23,I4,All-Wheel Drive,Gasoline,6,2694,0
15,21399,3,Ford,Automatic,45250,White,Black,23,I4,All-Wheel Drive,Gasoline,6,3020,0
16,18499,3,Nissan,Automatic,31501,Blue,Black,23,V6,Front-Wheel Drive,Gasoline,2,2613,0
17,26498,3,Nissan,Automatic,59041,White,Black,16,V8,Front-Wheel Drive,Gasoline,8,5954,0
18,26599,2,Ford,Automatic,40901,Gray,Black,22,I4,Front-Wheel Drive,Gasoline,7,2984,0
19,16980,3,Kia,Automatic,31302,Blue,Black,25,I4,Front-Wheel Drive,Gasoline,12,1124,0
20,43199,4,GMC,Automatic,32469,White,Black,25,V8,Front-Wheel Drive,Gasoline,11,4374,0
